horizon,drop_insolvency,top_n,threshold,threshold_source,recall,precision,f1,fbeta,beta,roc_auc,pr_auc,baseline_pr_auc,pr_auc_lift,specificity,npv,TP,FP,FN,TN,n_bank_test,n_bank_test_with_flag0,n_features_after_corr,training_time_sec
h1,True,50,0.9749999999999999,val,0.841225626740947,0.2822429906542056,0.42267319804058784,0.6025538707102953,2.0,0.9961768924172713,0.4134302078163604,0.003589658982396672,115.1725581298337,0.9922930642595873,0.9994238903572386,604,1536,114,197765,718,0,95,117.3355188369751
h2,False,20,0.9349999999999998,val,0.3944353518821604,0.09319412219644238,0.15076634344698153,0.23956262425447317,2.0,0.9439989294856761,0.10745599915941194,0.0030657146727813707,35.050880668526936,0.9881976949016055,0.9981191063213278,241,2345,370,196345,611,172,98,88.54915285110474
h2,False,25,0.9299999999999998,val,0.41734860883797054,0.09172661870503597,0.15039811265113537,0.24406584992343033,2.0,0.9461635084599544,0.10630361276430292,0.0030657146727813707,34.67498580611839,0.9872917610347778,0.9981884887620153,255,2525,356,196165,611,172,98,89.85712957382202
h2,False,30,0.9299999999999998,val,0.4288052373158756,0.09562043795620438,0.15637123246792003,0.25270061728395066,2.0,0.9463255600780859,0.1116163472693622,0.0030657146727813707,36.40793719661401,0.9875283104333383,0.9982244697574799,262,2478,349,196212,611,172,98,92.58836770057678
h2,False,35,0.9249999999999998,val,0.4353518821603928,0.086673183447377,0.14456521739130435,0.24124795936876473,2.0,0.9478584729981379,0.10939973523800656,0.0030657146727813707,35.6849044724549,0.9858925965071217,0.9982418769619634,266,2803,345,195887,611,172,98,95.75389361381531
h2,False,40,0.9199999999999998,val,0.469721767594108,0.08333333333333333,0.14155363748458694,0.24371603260869562,2.0,0.9477983039316691,0.09759283175586585,0.0030657146727813707,31.833631688667463,0.9841109265690271,0.9983457318349612,287,3157,324,195533,611,172,98,96.3201470375061
h2,False,45,0.9349999999999998,val,0.3895253682487725,0.09798270893371758,0.15657894736842104,0.2442027498460907,2.0,0.948546683724385,0.1012587491379156,0.0030657146727813707,33.029410739665664,0.988972771654336,0.9981053679548133,238,2191,373,196499,611,172,98,98.43933725357056
h2,False,50,0.9349999999999998,val,0.3878887070376432,0.10042372881355932,0.15954224166947156,0.24666944213155703,2.0,0.9483161475257041,0.10026078886471426,0.0030657146727813707,32.703887858472044,0.9893150133373597,0.9981009540928502,237,2123,374,196567,611,172,98,196.3013322353363
h2,True,20,0.9299999999999998,val,0.41898527004909986,0.09090909090909091,0.14940180916253282,0.24334600760456276,2.0,0.9429225502326656,0.10046486895087654,0.0030657146727813707,32.77045637770646,0.987115607227339,0.9981932463037891,256,2560,355,196130,611,172,97,92.90255069732666
h2,True,25,0.9349999999999998,val,0.3944353518821604,0.1007104053489344,0.1604527296937417,0.24912135621252848,2.0,0.944867585631879,0.1097514707375067,0.0030657146727813707,35.79963644755454,0.9891690573254819,0.9981209498852256,241,2152,370,196538,611,172,97,93.12783718109131
h2,True,30,0.9299999999999998,val,0.42225859247135844,0.09217577706323687,0.15131964809384163,0.24604234217051307,2.0,0.9471880959400275,0.10932100017570227,0.0030657146727813707,35.659222022942124,0.9872112335799487,0.9982035806251336,258,2541,353,196149,611,172,97,94.19317078590393
h2,True,35,0.9349999999999998,val,0.3862520458265139,0.09562398703403566,0.15329652484572914,0.24022801302931596,2.0,0.9478895233501201,0.10404481153186348,0.0030657146727813707,33.938191461721644,0.9887664200513363,0.9980948316593254,236,2232,375,196458,611,172,97,95.25427532196045
h2,True,40,0.9299999999999998,val,0.40916530278232405,0.09012256669069935,0.14771048744460857,0.2395553852050594,2.0,0.9481644789739406,0.1027547808880266,0.0030657146727813707,33.51739866737249,0.9872967940007046,0.9981631022709347,250,2524,361,196166,611,172,97,181.29426646232605
h2,True,45,0.9299999999999998,val,0.4026186579378069,0.09001097694840834,0.1471291866028708,0.23758933745412397,2.0,0.948451712233954,0.10012464873372204,0.0030657146727813707,32.65948055201233,0.987483013739997,0.9981431362174922,246,2487,365,196203,611,172,97,238.64519333839417
h2,True,50,0.9399999999999998,val,0.3502454991816694,0.1071607411116675,0.16411042944785276,0.240936725962621,2.0,0.9487994069831702,0.10163442359297382,0.0030657146727813707,33.15195131997263,0.9910262217524788,0.9979878765762478,214,1783,397,196907,611,172,97,237.03282976150513
h3,False,20,0.9149999999999999,val,0.2336842105263158,0.05155596841616349,0.08447488584474885,0.13693560325684676,2.0,0.9042910137619029,0.03858761953769754,0.0026427355372820437,14.601392758877223,0.9886089153924681,0.9979502773319818,111,2042,364,177221,475,236,97,184.65815353393555
h3,False,25,0.9099999999999999,val,0.26105263157894737,0.052122740647330815,0.08689558514365803,0.1448936667445665,2.0,0.9067486495143713,0.03937040272257896,0.0026427355372820437,14.897594620107153,0.9874207170470203,0.9980209631312761,124,2255,351,177008,475,236,97,84.54049324989319
h3,False,30,0.9149999999999999,val,0.24842105263157896,0.05317710680486706,0.08760207869339272,0.14323865015780532,2.0,0.9073514568568322,0.04182104870580888,0.0026427355372820437,15.824908741651953,0.988279790029175,0.9979889476619405,118,2101,357,177162,475,236,97,84.93690419197083
h3,False,35,0.9249999999999998,val,0.21052631578947367,0.05555555555555555,0.08791208791208792,0.13513513513513514,2.0,0.9078168712421062,0.040909565852011893,0.0026427355372820437,15.480007467597714,0.9905167268203701,0.9978925243624184,100,1700,375,177563,475,236,97,87.80740261077881
h3,False,40,0.9299999999999998,val,0.16421052631578947,0.059046177138531414,0.08685968819599109,0.12108040981061782,2.0,0.9079158496029209,0.03994625415901518,0.0026427355372820437,15.115494379016992,0.9930660537868942,0.9977748757125162,78,1243,397,178020,475,236,97,92.09434795379639
h3,False,45,0.9149999999999999,val,0.23578947368421052,0.05042773525438991,0.0830860534124629,0.13588934724581414,2.0,0.9067733588726002,0.03894948687547404,0.0026427355372820437,14.738321835839901,0.9882351628612709,0.9979551254246072,112,2109,363,177154,475,236,97,90.83724403381348
h3,False,50,0.9249999999999998,val,0.1957894736842105,0.058564231738035266,0.09015996122152206,0.13331422018348624,2.0,0.9098544420326853,0.03935782416852806,0.0026427355372820437,14.892834948216624,0.9916602979979137,0.997855739545327,93,1495,382,177768,475,236,97,102.36037492752075
h3,True,20,0.8999999999999999,val,0.30105263157894735,0.04673202614379085,0.0809052333804809,0.1441532258064516,2.0,0.905282917160526,0.04261102317905699,0.0026427355372820437,16.123831756120726,0.9837278189029527,0.9981208752646057,143,2917,332,176346,475,236,96,131.88316893577576
h3,True,25,0.9099999999999999,val,0.26105263157894737,0.051260851591566764,0.0856945404284727,0.14355174808983565,2.0,0.9063250789710032,0.03995610690684256,0.0026427355372820437,15.119222617309617,0.9871975812074996,0.9980205166958983,124,2295,351,176968,475,236,96,130.7281813621521
h3,True,30,0.9199999999999998,val,0.2336842105263158,0.05505952380952381,0.08912083500602168,0.14172625127681307,2.0,0.9059548731252552,0.042049116459763884,0.0026427355372820437,15.911208619463245,0.9893731556428265,0.9979518573952577,111,1905,364,177358,475,236,96,163.3538110256195
h3,True,35,0.9149999999999999,val,0.25473684210526315,0.05148936170212766,0.0856637168141593,0.14235294117647057,2.0,0.9066342160606718,0.04276269155387917,0.0026427355372820437,16.181222430549756,0.9875657553427087,0.9980043745912914,121,2229,354,177034,475,236,96,90.2085497379303
h3,True,40,0.9199999999999998,val,0.23789473684210527,0.056359102244389024,0.09112903225806451,0.1446862996158771,2.0,0.9079065953375767,0.04106723782252399,0.0026427355372820437,15.539669877357511,0.9894456747906707,0.997963236990317,113,1892,362,177371,475,236,96,119.76272225379944
h3,True,45,0.9249999999999998,val,0.18947368421052632,0.05593536357986327,0.08637236084452975,0.12824166429182104,2.0,0.9081870888318457,0.03830430485584477,0.0026427355372820437,14.494187676168057,0.9915264164942013,0.9978386450269187,90,1519,385,177744,475,236,96,120.27196645736694
h3,True,50,0.9049999999999999,val,0.28,0.04611650485436893,0.07919023518904436,0.13900501672240803,2.0,0.9077836885939712,0.03985987401995703,0.0026427355372820437,15.082808498103237,0.9846538326369636,0.998066201499542,133,2751,342,176512,475,236,96,203.63012886047363
h4,False,20,0.9099999999999999,val,0.14511873350923482,0.04,0.06271379703534778,0.09512279488066414,2.0,0.8782945187058884,0.020693636820500894,0.0023889515717284283,8.66222533156202,0.9916597164303587,0.9979398748664734,55,1320,324,156948,379,238,97,159.89091873168945
h4,False,25,0.9049999999999999,val,0.15567282321899736,0.038995373430270985,0.06236786469344609,0.09739187850775835,2.0,0.8789751717353544,0.02178025278577874,0.0023889515717284283,9.1170758936819,0.9908130512801072,0.9979635215803072,59,1454,320,156814,379,238,97,166.54206681251526
h4,False,30,0.9149999999999999,val,0.10290237467018469,0.04113924050632911,0.0587792012057272,0.07913961038961038,2.0,0.8809014324788794,0.020950236026531434,0.0023889515717284283,8.76963613430378,0.994256577450906,0.9978439939378182,39,909,340,157359,379,238,97,171.13080501556396
h4,False,35,0.8999999999999999,val,0.16094986807387862,0.03577712609970674,0.05854126679462572,0.09469108972368828,2.0,0.8802128022652603,0.021651521750824413,0.0023889515717284283,9.063189897633354,0.9896125559178103,0.9979737737508124,61,1644,318,156624,379,238,97,172.01425075531006
h4,False,40,0.8849999999999999,val,0.21108179419525067,0.031409501374165684,0.05468215994531784,0.09844942160964804,2.0,0.8791483941636553,0.021470574850497352,0.0023889515717284283,8.987446670994338,0.9844125154800718,0.9980845611787316,80,2467,299,155801,379,238,97,175.13547825813293
h4,False,45,0.8949999999999999,val,0.16886543535620052,0.03237228123419322,0.05432937181663837,0.09161179501860864,2.0,0.8796293425139803,0.0217317385983846,0.0023889515717284283,9.096768162052564,0.9879129072206637,0.9979894044807557,64,1913,315,156355,379,238,97,180.91414618492126
h4,False,50,0.8999999999999999,val,0.16358839050131926,0.03506787330316742,0.05775500698649278,0.09439707673568817,2.0,0.8791182442419401,0.020363336484243034,0.0023889515717284283,8.523963702416108,0.9892208153259029,0.9979793343914737,62,1706,317,156562,379,238,97,180.81849598884583
h4,True,20,0.9099999999999999,val,0.14775725593667546,0.037991858887381276,0.060442525634106854,0.09364548494983277,2.0,0.8794294044376018,0.020386367326909526,0.0023889515717284283,8.533604267314553,0.9910405135592792,0.9979449396524849,56,1418,323,156850,379,238,96,166.0897731781006
h4,True,25,0.9149999999999999,val,0.1266490765171504,0.04293381037567084,0.06412825651302605,0.09111617312072892,2.0,0.8800721304159745,0.020773783352803762,0.0023889515717284283,8.695774162459786,0.9932393155912755,0.9978987995861079,48,1070,331,157198,379,238,96,168.75080919265747
h4,True,30,0.8849999999999999,val,0.21108179419525067,0.03211561621838619,0.05574912891986063,0.09982530571499874,2.0,0.8810618430659647,0.02066386340669085,0.0023889515717284283,8.649762369079903,0.9847663456921172,0.9980852480852481,80,2411,299,155857,379,238,96,170.91449975967407
h4,True,35,0.9149999999999999,val,0.11609498680738786,0.04238921001926782,0.062103034580098804,0.08613938919342208,2.0,0.8796485144299175,0.021038601751615968,0.0023889515717284283,8.806625467252292,0.9937195137361943,0.9978744868630598,44,994,335,157274,379,238,96,171.98374557495117
h4,True,40,0.8999999999999999,val,0.17678100263852242,0.038908246225319396,0.0637791527843884,0.10345892526250773,2.0,0.8793264012353248,0.021631580597220167,0.0023889515717284283,9.05484265701105,0.9895430535547299,0.9980117890712124,67,1655,312,156613,379,238,96,174.446848154068
h4,True,45,0.8999999999999999,val,0.15303430079155672,0.03346797461050202,0.054924242424242424,0.08925823330255464,2.0,0.877941063596546,0.020290168012997746,0.0023889515717284283,8.493335843688795,0.9894166856218566,0.9979542934346203,58,1675,321,156593,379,238,96,176.8293755054474
h4,True,50,0.8949999999999999,val,0.1662269129287599,0.03343949044585987,0.05567830313742819,0.09264705882352942,2.0,0.8808734998309204,0.021482772774969745,0.0023889515717284283,8.992552644935687,0.9884941997118811,0.9979842182147574,63,1821,316,156447,379,238,96,179.05655026435852
h5,False,20,0.8349999999999999,val,0.26936026936026936,0.020130850528434826,0.037461952704284714,0.07748934521503294,2.0,0.8540523177631207,0.019166867464843366,0.0021213073538654936,9.035403299723198,0.9721281788835525,0.9984048105620653,80,3894,217,135817,297,195,96,149.93544912338257
h5,False,25,0.8649999999999999,val,0.19865319865319866,0.029903699949315764,0.051982378854625554,0.09332489718443532,2.0,0.855801997422915,0.02013470831270182,0.0021213073538654936,9.491650644595138,0.9863002913156445,0.9982757996160394,59,1914,238,137797,297,195,96,152.3744683265686
h5,False,30,0.8299999999999998,val,0.31986531986531985,0.021924763443341797,0.04103671706263499,0.08603513856185475,2.0,0.8573013165922815,0.022853366816581407,0.0021213073538654936,10.773246401535115,0.9696659532892901,0.9985111479638843,95,4238,202,135473,297,195,96,153.4002697467804
h5,False,35,0.8399999999999999,val,0.2727272727272727,0.022443890274314215,0.041474654377880185,0.08442776735459663,2.0,0.8588963359597025,0.020846879233593428,0.0021213073538654936,9.827373292043598,0.9747478723937271,0.9984164106774976,81,3528,216,136183,297,195,96,156.4352512359619
h5,False,40,0.8899999999999999,val,0.10101010101010101,0.037783375314861464,0.054995417048579284,0.07568113017154392,2.0,0.859901296488251,0.01770552135397688,0.0021213073538654936,8.34651391827473,0.9945315687383242,0.9980820894450271,30,764,267,138947,297,195,96,158.43676090240479
h5,False,45,0.8749999999999999,val,0.16161616161616163,0.03333333333333333,0.055267702936096716,0.09132420091324202,2.0,0.8617668599058755,0.018701347054766313,0.0021213073538654936,8.815953530113541,0.9900365755022869,0.9982030483228451,48,1392,249,138319,297,195,96,159.22545266151428
h5,False,50,0.8749999999999999,val,0.15488215488215487,0.030687124749833223,0.051224944320712694,0.08559732043170822,2.0,0.8605572200063686,0.01752390657205752,0.0021213073538654936,8.260899364783263,0.9895999599172578,0.9981878433892383,46,1453,251,138258,297,195,96,160.96174383163452
h5,True,20,0.8499999999999999,val,0.23232323232323232,0.022840119165839126,0.04159132007233273,0.08196721311475409,2.0,0.8534453529335821,0.01848124027941458,0.0021213073538654936,8.712193565792177,0.9788706687376083,0.9983356084883968,69,2952,228,136759,297,195,95,150.69000625610352
h5,True,25,0.8399999999999999,val,0.2962962962962963,0.02391304347826087,0.04425446316318833,0.09038619556285948,2.0,0.858557987198538,0.021026111156788423,0.0021213073538654936,9.911864548281594,0.9742897839110736,0.9984669326917435,88,3592,209,136119,297,195,95,150.21477794647217
h5,True,30,0.8599999999999999,val,0.2222222222222222,0.02558139534883721,0.045881126173096975,0.0875796178343949,2.0,0.8586801007476544,0.02051417758005632,0.0021213073538654936,9.670535268109512,0.9820057117907681,0.9983191198300201,66,2514,231,137197,297,195,95,150.03535437583923
h5,True,35,0.8399999999999999,val,0.2727272727272727,0.022810475922275416,0.0420997920997921,0.08546106773580925,2.0,0.8585586981418376,0.019483011069891153,0.0021213073538654936,9.184435736947206,0.9751630150811318,0.9984170837699788,81,3470,216,136241,297,195,95,155.19626903533936
h5,True,40,0.7999999999999999,val,0.39057239057239057,0.0179039975304831,0.03423848878394333,0.0756488848310943,2.0,0.8603164632754285,0.019668288993319658,0.0021213073538654936,9.271777122480467,0.9544559841386863,0.9986444892120813,116,6363,181,133348,297,195,95,156.82502555847168
h5,True,45,0.8749999999999999,val,0.15488215488215487,0.030026109660574413,0.05030071077091307,0.08455882352941176,2.0,0.8615175839052269,0.018445058099316576,0.0021213073538654936,8.695137018077828,0.9893637580433896,0.9981874115370173,46,1486,251,138225,297,195,95,156.85872268676758
h5,True,50,0.8599999999999999,val,0.20202020202020202,0.026064291920069503,0.0461716044632551,0.08595988538681948,2.0,0.8596896402330478,0.016883079224305302,0.0021213073538654936,7.9588086061836245,0.9839525878420453,0.9982789420940265,60,2242,237,137469,297,195,95,160.6033070087433
h6,False,20,0.8699999999999999,val,0.13043478260869565,0.027700831024930747,0.0456968773800457,0.07488766849725412,2.0,0.8471301350730068,0.01634834828348906,0.0019204114690312777,8.512940350088481,0.9911909382947397,0.9983148386879334,30,1053,200,118483,230,165,96,120.06493067741394
h6,False,25,0.8599999999999999,val,0.13043478260869565,0.02220577350111029,0.03795066413662239,0.06605019815059446,2.0,0.8472059536002979,0.01692073505519683,0.0019204114690312777,8.810994585307405,0.9889489358854237,0.9983110247857113,30,1321,200,118215,230,165,96,95.39566254615784
h6,False,30,0.8449999999999999,val,0.1956521739130435,0.021665864227250843,0.03901170351105332,0.07507507507507508,2.0,0.8507991952942684,0.016900743087899957,0.0019204114690312777,8.80058433332794,0.9830009369562308,0.9984280603964687,45,2032,185,117504,230,165,96,126.81129884719849
h6,False,35,0.8649999999999999,val,0.12173913043478261,0.024284475281873375,0.04049168474331164,0.06753497346840329,2.0,0.8493224708001373,0.018615375061017608,0.0019204114690312777,9.693430476338412,0.9905886092892517,0.9982969826241643,28,1125,202,118411,230,165,96,127.6525092124939
h6,False,40,0.8399999999999999,val,0.21739130434782608,0.022482014388489208,0.040749796251018745,0.07951653944020357,2.0,0.8506532687260304,0.017957587422147755,0.0019204114690312777,9.3509061530476,0.9818130103065186,0.9984686324888125,50,2174,180,117362,230,165,96,127.19724607467651
h6,False,45,0.8549999999999999,val,0.13478260869565217,0.02175438596491228,0.03746223564954683,0.06609808102345416,2.0,0.8541629809175187,0.018795280054740477,0.0019204114690312777,9.787110917548034,0.988338241199304,0.9983184188066688,31,1394,199,118142,230,165,96,130.486168384552
h6,False,50,0.8549999999999999,val,0.14347826086956522,0.023109243697478993,0.039806996381182146,0.07027257240204429,2.0,0.8570904053645108,0.020801290953171774,0.0019204114690312777,10.831684401293785,0.9883298755186722,0.9983352769186568,33,1395,197,118141,230,165,96,132.16877484321594
h6,True,20,0.8699999999999999,val,0.1565217391304348,0.03308823529411765,0.054628224582701064,0.08964143426294821,2.0,0.8527938827233419,0.017067325787512407,0.0019204114690312777,8.887327566379177,0.9911993039753715,0.9983653246600044,36,1052,194,118484,230,165,95,125.20947480201721
h6,True,25,0.8599999999999999,val,0.1565217391304348,0.022799240025332488,0.03980099502487562,0.07202881152460984,2.0,0.8483971355909516,0.01426839720993925,0.0019204114690312777,7.42986460976341,0.9870917547851693,0.9983585335104538,36,1543,194,117993,230,165,95,123.52427697181702
h6,True,30,0.8599999999999999,val,0.1565217391304348,0.024324324324324326,0.042105263157894736,0.07500000000000001,2.0,0.8502911438722479,0.01567058092552342,0.0019204114690312777,8.160012152722775,0.9879199571677152,0.998359907343219,36,1444,194,118092,230,165,95,124.20246076583862
h6,True,35,0.8599999999999999,val,0.13043478260869565,0.023622047244094488,0.04,0.0684931506849315,2.0,0.8501082991916571,0.013877197184267496,0.0019204114690312777,7.226158252047743,0.9896265560165975,0.9983121793140697,30,1240,200,118296,230,165,95,126.45802783966064
h6,True,40,0.8599999999999999,val,0.1391304347826087,0.02570281124497992,0.04338983050847458,0.07390300230946883,2.0,0.8519451298644614,0.014677318114252097,0.0019204114690312777,7.642798614223985,0.9898524293936555,0.9983294099779786,32,1213,198,118323,230,165,95,128.3784580230713
h6,True,45,0.8699999999999999,val,0.10434782608695652,0.026115342763873776,0.04177545691906005,0.06525285481239805,2.0,0.8524359588961377,0.015456401234376086,0.0019204114690312777,8.048484131462114,0.9925127158345604,0.9982666790074634,24,895,206,118641,230,165,95,129.8071608543396
h6,True,50,0.8299999999999998,val,0.2391304347826087,0.020888720091150777,0.03842123646524624,0.07739938080495357,2.0,0.8563157251517461,0.019800499193187156,0.0019204114690312777,10.310550375527187,0.978433275331281,0.9985059718439723,55,2578,175,116958,230,165,95,133.53322768211365
