horizon,drop_insolvency,top_n,threshold,threshold_source,recall,precision,f1,fbeta,beta,roc_auc,pr_auc,baseline_pr_auc,pr_auc_lift,specificity,npv,TP,FP,FN,TN,n_bank_test,n_bank_test_with_flag0,n_features_after_corr,training_time_sec
h1,False,20,0.9699999999999999,val,0.8997214484679665,0.2629222629222629,0.40692913385826773,0.6061174704447363,2.0,0.9960143885330484,0.40366585780053676,0.003589658982396672,112.45242508552307,0.9909132417800212,0.9996355574452577,646,1811,72,197490,718,0,96,92.66890025138855
h1,False,25,0.9749999999999999,val,0.8467966573816156,0.2742444745151105,0.4143100511073254,0.5973668697190018,2.0,0.9960598503468788,0.4073471869835408,0.003589658982396672,113.47796238615717,0.9919267841104661,0.9994438883327772,608,1609,110,197692,718,0,96,135.22134852409363
h1,False,30,0.9749999999999999,val,0.841225626740947,0.2744207178555202,0.4138403562863994,0.5953084959589986,2.0,0.9960314572411078,0.40184554529521993,0.003589658982396672,111.94532607855794,0.9919869945459381,0.9994237127056183,604,1597,114,197704,718,0,96,203.2263844013214
h1,False,35,0.9749999999999999,val,0.8426183844011143,0.27880184331797236,0.41897506925207756,0.5999603332011108,2.0,0.9961043687520754,0.40621369644641303,0.003589658982396672,113.1621968656199,0.9921475557071967,0.9994288573609167,605,1565,113,197736,718,0,96,250.28635787963867
h1,False,40,0.9699999999999999,val,0.8913649025069638,0.2654500207382829,0.40907638223074466,0.6057164489873178,2.0,0.9960348989355682,0.40525593472549615,0.003589658982396672,112.89538552626604,0.9911139432315944,0.9996052791384964,640,1771,78,197530,718,0,96,197.21858167648315
h1,False,45,0.9699999999999999,val,0.8885793871866295,0.2670573461699456,0.41068554876086255,0.6063486029272,2.0,0.9960988515586208,0.4055596323647701,0.003589658982396672,112.9799890055278,0.991214293957381,0.9995952031574153,638,1751,80,197550,718,0,96,102.89040684700012
h1,False,50,0.9749999999999999,val,0.8314763231197771,0.2802816901408451,0.41924157303370785,0.5967612954818072,2.0,0.9961051479377249,0.40807985422412907,0.003589658982396672,113.68206735662406,0.9923081168684552,0.9993885461041291,597,1533,121,197768,718,0,96,100.85728573799133
h1,True,20,0.9699999999999999,val,0.9025069637883009,0.26288032454361054,0.4071630537229029,0.6070826306913997,2.0,0.9960248009690806,0.3994274909473145,0.003589658982396672,111.2717093478982,0.9908831365622852,0.999645666501311,648,1817,70,197484,718,0,95,90.7400894165039
h1,True,25,0.9749999999999999,val,0.8440111420612814,0.2749546279491833,0.41478439425051333,0.5969267139479906,2.0,0.9960374810799398,0.4028169635383798,0.003589658982396672,112.21594182448914,0.9919819770096487,0.9994338144225665,606,1598,112,197703,718,0,95,93.16363644599915
h1,True,30,0.9749999999999999,val,0.8328690807799443,0.2728102189781022,0.41099656357388314,0.5904423380726698,2.0,0.9960447313499958,0.40436644061550164,0.003589658982396672,112.64759204104739,0.992002047154806,0.9993934093930555,598,1594,120,197707,718,0,95,96.14418745040894
h1,True,35,0.9749999999999999,val,0.8342618384401114,0.276036866359447,0.41481994459833793,0.5940103133677113,2.0,0.9961227232911616,0.4059316492036007,0.003589658982396672,113.08362471038302,0.9921174504894607,0.9993985312030892,599,1571,119,197730,718,0,95,180.97797393798828
h1,True,40,0.9749999999999999,val,0.8342618384401114,0.2802994852597099,0.41961471103327497,0.5979237372729087,2.0,0.9961202948874562,0.4054663562430526,0.003589658982396672,112.95400433061162,0.9922830291870086,0.9993986315076662,599,1538,119,197763,718,0,95,254.82623314857483
h1,True,45,0.9749999999999999,val,0.8272980501392758,0.27887323943661974,0.41713483146067415,0.5937624950019993,2.0,0.9961218742233913,0.40726291582704366,0.003589658982396672,113.45448629639199,0.9922930642595873,0.9993733860901819,594,1536,124,197765,718,0,95,198.13699746131897
