horizon,drop_insolvency,use_lags,top_n,threshold,threshold_source,recall,precision,f1,fbeta,beta,roc_auc,pr_auc,baseline_pr_auc,pr_auc_lift,specificity,npv,TP,FP,FN,TN,n_bank_test,n_bank_test_with_flag0,n_features_after_corr,training_time_sec
h1,False,False,20,0.9049999999999999,val,0.9930362116991643,0.1959329486122561,0.32728941932522376,0.5475349408692981,2.0,0.9943187268193143,0.2887685105870188,0.003589658982396672,80.4445525335723,0.9853186888174169,0.9999745391587738,713,2926,5,196375,718,0,95,89.20648717880249
h1,False,False,25,0.9699999999999999,val,0.935933147632312,0.21559191530317612,0.3504563233376793,0.5610285523459676,2.0,0.994698039984006,0.314651816898004,0.003589658982396672,87.65507209487724,0.9877321237725852,0.9997663812454927,672,2445,46,196856,718,0,95,148.5382115840912
h1,False,False,30,0.9699999999999999,val,0.9233983286908078,0.21491085899513776,0.3486721009729161,0.5564881651838173,2.0,0.9947722582906366,0.3267316982561555,0.003589658982396672,91.02026121657099,0.9878475271072398,0.9997207186163892,663,2422,55,196879,718,0,95,132.76178908348083
h1,False,False,35,0.9699999999999999,val,0.9192200557103064,0.21710526315789475,0.35125066524747206,0.5581867388362651,2.0,0.9947849768366626,0.32992240161031905,0.003589658982396672,91.90912095779166,0.9880582636313917,0.9997055523685265,660,2380,58,196921,718,0,95,87.64258885383606
h1,False,False,40,0.9749999999999999,val,0.8454038997214485,0.22700074794315633,0.3579009433962264,0.5472412549585287,2.0,0.9948328600659864,0.3346177024829646,0.003589658982396672,93.21712845813383,0.9896287524899524,0.9994375332539461,607,2067,111,197234,718,0,95,88.19245934486389
h1,False,False,45,0.9699999999999999,val,0.9052924791086351,0.224060668734919,0.3592152528322741,0.5629655291875975,2.0,0.9951555407598023,0.3476022032353057,0.003589658982396672,96.83432463638248,0.9887055258127154,0.9996550289674205,650,2251,68,197050,718,0,95,135.75623178482056
h1,False,False,50,0.9749999999999999,val,0.8384401114206128,0.23607843137254902,0.3684210526315789,0.5551457026927333,2.0,0.9951021787721904,0.3479574138060888,0.003589658982396672,96.9332784847912,0.9902258393083828,0.9994125660230213,602,1948,116,197353,718,0,95,102.84508872032166
h1,False,True,20,0.9599999999999999,val,0.9721448467966574,0.20040195233993682,0.33230183289692933,0.5491738788355626,2.0,0.9945506306379235,0.28860116185413826,0.003589658982396672,80.39793285919622,0.9860261614342126,0.999898237473033,698,2785,20,196516,718,0,213,313.0033128261566
h1,False,True,25,0.8249999999999998,val,0.9902506963788301,0.1941561987984708,0.32465753424657534,0.5440771349862259,2.0,0.9947312968854,0.29808088056103255,0.003589658982396672,83.03877388431361,0.9851932504101836,0.9999643506470357,711,2951,7,196350,718,0,213,365.80555987358093
h1,False,True,30,0.8249999999999998,val,0.9930362116991643,0.19359218028780886,0.3240172688025449,0.543859649122807,2.0,0.9948914911655233,0.32386494269986055,0.003589658982396672,90.22164620318024,0.9850979172206863,0.9999745334528564,713,2970,5,196331,718,0,213,228.9006793498993
